date	AAPL	SPY	TSLA	COST	MCD	BX
2024-01-31	182.67	471.23	187.29	687.26	279.28	117.71
2024-02-29	179.29	495.82	201.88	736.81	280.45	121.82
2024-03-29	170.09	512.04	175.79	725.66	270.54	125.2
2024-04-30	168.95	491.39	183.28	717.17	261.99	111.89
2024-05-31	190.95	516.25	178.08	803.47	248.41	115.62
2024-06-28	209.2	534.46	197.88	843.26	246.11	118.78
2024-07-31	220.58	540.93	232.07	816.65	256.31	137.18
2024-08-30	227.72	553.57	214.11	886.57	278.77	137.39
2024-09-30	231.7	565.2	261.63	880.75	295.79	147.78
2024-10-31	224.65	560.15	249.85	868.49	283.75	162.72
2024-11-29	236.26	593.56	345.16	966.83	287.53	185.37
2024-12-31	249.29	579.28	403.84	911.51	283.28	167.25
2025-01-31	234.94	594.83	404.6	974.79	282.12	171.8
2025-02-28	241.02	587.28	292.98	1044.32	301.3	157.67
2025-03-31	221.37	554.56	259.16	941.91	307.01	136.75
2025-04-30	211.78	549.75	282.16	990.43	314.17	129.76
2025-05-30	200.43	584.3	346.46	1037.27	308.47	136.71
2025-06-30	204.74	614.33	317.66	987.17	288.79	147.37
2025-07-31	207.13	628.48	308.27	937.01	296.6	170.4
2025-08-29	231.92	641.37	333.87	941.99	309.91	169.89
2025-09-30	254.38	664.22	444.72	924.32	302.08	169.35
2025-10-31	270.11	680.05	456.56	911.45	296.65	145.35
2025-11-28	278.85	681.38	430.17	913.59	309.96	146.42
2025-12-31	271.86	681.92	449.72	862.34	305.63	154.14
