dim	coefficient
0	0.05622277
1	-0.039929025
2	0.011879079
3	0.020127125
4	0.061268486
5	0.09147154
6	-0.010141604
7	0.03292139
8	-0.025065448
9	0.026940366
10	-0.0138371885
11	-0.02699735
12	-0.05131898
13	0.04215315
14	0.08242967
15	0.019034054
16	-0.07855197
17	0.03934551
18	-0.018813483
19	0.0035363708
20	-0.09310776
21	0.07629213
22	0.034488577
23	0.0110060945
24	-0.044131555
25	0.006728825
26	0.082449436
27	-0.074900806
28	-0.09037992
29	0.008162338
30	0.07679076
31	0.018456504
32	-0.053195797
33	-0.14213078
34	-0.07630321
35	-0.023771763
36	-0.065098494
37	0.06688713
38	-0.0076277535
39	0.011946826
40	-0.03544671
41	-0.0316773
42	-0.03281985
43	-0.08434537
44	-0.046812657
45	-0.06618345
46	-0.0035280827
47	0.024084225
48	0.053204685
49	-0.114593424
50	0.051490385
51	-0.071683414
52	-0.033822346
53	-0.08803083
54	-0.05219316
55	-0.03135204
56	-0.032623224
57	-0.0022022752
58	-0.042191938
59	0.034328643
60	0.053413022
61	0.03850715
62	-0.023391388
63	0.082741715
64	-0.0698577
65	-0.076796524
66	-0.111609004
67	-0.04528111
68	0.03709074
69	-0.023609139
70	0.024438221
71	-0.075930916
72	0.09559707
73	-0.024708074
74	0.107299216
75	-0.041162457
76	-0.06330009
77	0.020339586
78	0.040230885
79	-0.06554549
80	-0.0028665806
81	-0.11377169
82	-0.055147216
83	-0.11665301
84	0.0221469
85	0.05566448
86	-0.037109714
87	0.040801425
88	0.022857131
89	0.025416654
90	-0.0007730732
91	0.060573723
92	-0.027363304
93	0.07247751
94	-0.0070073465
95	0.024591472
96	-0.0935958
97	-0.0018997593
98	-0.031476222
99	-0.031990066
100	0.017338756
101	0.055456605
102	-0.009043692
103	-0.09685825
104	-0.027615648
105	0.077350125
106	-0.024475722
107	0.003824275
108	-0.13294707
109	-0.0036888025
110	0.032757908
111	-0.05487443
112	0.00908522
113	0.0033673965
114	-0.060435746
115	-0.04609277
