buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	220868	-177088.8880681734
2025-01-01	2025-03-01	216095	-294896.7544821992
2025-01-01	2025-04-01	211524	-310539.2279350279
2025-01-01	2025-05-01	207142	-378351.32945534756
2025-01-01	2025-06-01	202939	-441829.939175382
2025-01-01	2025-07-01	198902	-461259.3683154336
2025-01-01	2025-08-01	195023	-427229.1399909513
2025-01-01	2025-09-01	191292	-414663.75988720555
2025-01-01	2025-10-01	187702	-381208.0409897967
2025-01-01	2025-11-01	184243	-311066.88627726166
2025-01-01	2025-12-01	180910	-263467.13967147865
2025-02-01	2025-03-01	225236	-265069.9974143873
2025-02-01	2025-04-01	220274	-282015.9039820487
2025-02-01	2025-05-01	215527	-353189.08475455485
2025-02-01	2025-06-01	210980	-419712.707964587
2025-02-01	2025-07-01	206620	-440352.7262696999
2025-02-01	2025-08-01	202438	-405453.396786338
2025-02-01	2025-09-01	198421	-392852.2324077357
2025-02-01	2025-10-01	194560	-358596.16388596676
2025-02-01	2025-11-01	190847	-286374.15156359563
2025-02-01	2025-12-01	187273	-237562.47479297477
2025-03-01	2025-04-01	254746	-169657.9650977947
2025-03-01	2025-05-01	248418	-254483.3639367645
2025-03-01	2025-06-01	242396	-333304.46860166313
2025-03-01	2025-07-01	236659	-358991.12536369386
2025-03-01	2025-08-01	231188	-321014.9468906989
2025-03-01	2025-09-01	225964	-308573.0988105244
2025-03-01	2025-10-01	220971	-271530.5602053392
2025-03-01	2025-11-01	216194	-191598.88880576845
2025-03-01	2025-12-01	211619	-138447.1698190921
2025-04-01	2025-05-01	254994	-234745.47313280727
2025-04-01	2025-06-01	248654	-316093.26880101144
2025-04-01	2025-07-01	242621	-342845.12288413884
2025-04-01	2025-08-01	236874	-304317.05128503306
2025-04-01	2025-09-01	231393	-291962.7567003925
2025-04-01	2025-10-01	226159	-254424.9169469604
2025-04-01	2025-11-01	221158	-173036.69640415485
2025-04-01	2025-12-01	216372	-119092.15089774251
2025-05-01	2025-06-01	275140	-243244.65494785638
2025-05-01	2025-07-01	267772	-274720.1122739186
2025-05-01	2025-08-01	260789	-234078.94920257104
2025-05-01	2025-09-01	254161	-222294.3035784946
2025-05-01	2025-10-01	247861	-182882.0409608492
2025-05-01	2025-11-01	241866	-95602.55259799906
2025-05-01	2025-12-01	236154	-38555.273114712996
2025-06-01	2025-07-01	297970	-192928.2631720439
2025-06-01	2025-08-01	289348	-150202.69817771984
2025-06-01	2025-09-01	281212	-139522.6680224826
2025-06-01	2025-10-01	273520	-98294.53411329005
2025-06-01	2025-11-01	266238	-4472.354644508556
2025-06-01	2025-12-01	259333	55810.83210814788
2025-07-01	2025-08-01	302159	-112579.32938680556
2025-07-01	2025-09-01	293297	-102543.4568966716
2025-07-01	2025-10-01	284939	-60647.66094096547
2025-07-01	2025-11-01	277045	35939.947130965986
2025-07-01	2025-12-01	269577	97515.03198742472
2025-08-01	2025-09-01	280642	-141265.50720137343
2025-08-01	2025-10-01	272981	-100071.18143707386
2025-08-01	2025-11-01	265727	-6381.75918330489
2025-08-01	2025-12-01	258849	53838.327050325985
2025-09-01	2025-10-01	270279	-108978.82277216339
2025-09-01	2025-11-01	263166	-15957.919700949646
2025-09-01	2025-12-01	256418	43942.15953110223
2025-10-01	2025-11-01	252336	-56454.098788425494
2025-10-01	2025-12-01	246125	2038.3023233041692
2025-11-01	2025-12-01	224481	-86080.22681709383
