recipe_slug	score_bound
falafel	2.4692977056436995
spamburger	2.8727181034843268
bacon-fried-rice	2.3652620383469656
chicken-fingers	2.07728344879751
apple-crisp	1.797353152181758
cranberry-apple-crisp	1.822292570554192
bacon-chocolate-chip-cookies	1.7060722607280092
sujebi	2.1023951979884377
pasta-primavera	2.0061891520897746
ramen	2.1730738025729712
brownies	1.7932486471225526
bacon-wrapped-scallops	2.499384825235117
bacon-egg-muffins	2.107528135891069
breakfast-burritos	2.7806809278957862
bolognese-sauce	2.2118470968948
croissants	2.523596811680414
bacon-souffle	2.5098305078414347
souffle	2.7072794043348822
chocolate-souffle	1.6001047347072455
butter-croissants	1.9345463392813431
pickled-green-beans	2.0924654621054497
fried-oysters	2.4650587342941312
peanut-butter-brownies	1.6432874464140743
almond-chip-cookies	1.7172002863723363
guacamole	2.1454343186014646
brioche-bread	2.0963158218455833
brioche-bread-with-chocolate	1.6821485570504764
asparagus-quiche	2.784474192669245
asparagus-burger	2.1544490399335423
ma-la-chicken	2.571326596053988
cold-noodles-with-tomatoes	2.381632043943109
tamales	2.3480016290785364
enchiladas	2.051242609615028
tacos	2.8258853240872255
burritos	2.2307403292564274
peanut-butter-cupcakes	1.798499092661193
pickled-asparagus	2.210600218032267
chocolate-peanut-butter-cake	1.677360986796776
udon	2.4200169641074787
vegetable-lasagna	2.0318713272855207
maple-bacon-donuts	1.8138343653432771
maple-bacon-pancakes	2.426064372043024
spinach-and-ricotta-stuffed-shells	1.8976688423857795
quesadillas	2.8343764034668375
pico-de-gallo	2.0854851177265883
nachos	2.7947729376184194
cold-soba-noodles-with-tomato-and-cucumber	2.252776183364718
fajitas	2.130497049379574
loaded-nachos	2.4858812415795857
lasagna	2.612866309301406
chicken-nuggets	2.12352126385465
pain-au-chocolat	2.580637689865239
nacho-dip	2.7190295376931894
nacho-salad	2.809226763844117
nacho-casserole	2.0399192813844005
nacho-fries	2.8507017732724673
tempura-udon	2.070967241554306
peach-crisp	1.6821055806430922
apple-pie	1.8516575398111783
blueberry-crisp	1.5944295310051788
berry-crumble	1.4961589333631542
strawberry-rhubarb-crisp	1.8680703799894527
peach-cobbler	1.717442339549451
cranberry-sauce	2.1115229699692453
cherry-cobbler	1.651089720644315
apple-crumble	1.8733065151003634
chocolate-croissants	1.6749254638844147
french-toast	2.3819299909307827
chocolate-babka	1.853411093485628
cinnamon-babka	1.6405619510967813
blueberry-crumble	1.5944931466042414
spam-musubi	2.5746168828712745
taco-salad	2.8082426417905806
chiles-rellenos	2.7450183073437486
almond-croissants	2.027079500624708
cranberry-relish	2.4448563033025787
ma-la-beef	2.5080222975466824
chocolate-cake	1.6817700056345368
spinach-quiche	2.722949010548663
mushroom-quiche	2.124907204494171
quiche-lorraine	2.5156205421897084
croissant-aux-amandes	2.1279802281346845
danishes	1.8071673785995863
spinach-and-feta-quiche	2.096717903803589
cold-sesame-noodles	2.473748728602936
soba-noodle-salad-with-peanut-dressing	2.083892707696586
dan-dan-noodles	2.187025734386276
vanilla-souffle	1.8227841046389672
bacon-wrapped-dates	2.7375265106181588
cherry-pie	1.7382032355696788
berry-crisp	1.6687717065471186
bacon-and-egg-breakfast-sandwich	2.741887471266541
bacon-wrapped-shrimp-skewers	2.3306014163145576
bacon-wrapped-chicken	2.5652160139888043
bacon-wrapped-asparagus	2.1322229182057106
bacon-mac-and-cheese	2.783378225309331
chicken-alfredo-lasagna	2.050706530783147
classic-beef-lasagna	2.0248785715649373
vegetarian-mushroom-lasagna	1.9220454294503035
spinach-and-ricotta-lasagna	2.336744446821629
