recipe_slug	rating
falafel	0.75
spamburger	1.0
bacon-fried-rice	0.5
chicken-fingers	0.25
apple-crisp	0.0
cranberry-apple-crisp	0.0
bacon-chocolate-chip-cookies	0.0
sujebi	0.25
pasta-primavera	0.25
ramen	0.25
brownies	0.0
bacon-wrapped-scallops	0.75
bacon-egg-muffins	0.25
breakfast-burritos	1.0
bolognese-sauce	0.5
croissants	0.75
bacon-souffle	1.0
souffle	1.0
chocolate-souffle	0.0
butter-croissants	0.5
pickled-green-beans	0.25
fried-oysters	0.75
peanut-butter-brownies	0.0
almond-chip-cookies	0.0
guacamole	0.25
brioche-bread	0.25
brioche-bread-with-chocolate	0.0
asparagus-quiche	1.0
asparagus-burger	0.25
ma-la-chicken	0.75
cold-noodles-with-tomatoes	0.5
tamales	0.5
enchiladas	0.25
tacos	1.0
burritos	0.5
peanut-butter-cupcakes	0.0
pickled-asparagus	0.5
chocolate-peanut-butter-cake	0.0
udon	0.75
vegetable-lasagna	0.75
maple-bacon-donuts	0.0
maple-bacon-pancakes	0.75
spinach-and-ricotta-stuffed-shells	0.25
quesadillas	1.0
pico-de-gallo	0.25
nachos	1.0
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	0.25
loaded-nachos	0.75
lasagna	1.0
chicken-nuggets	0.25
pain-au-chocolat	0.75
nacho-dip	1.0
nacho-salad	1.0
nacho-casserole	0.25
nacho-fries	1.0
tempura-udon	0.25
peach-crisp	0.0
apple-pie	0.0
blueberry-crisp	0.0
berry-crumble	0.0
strawberry-rhubarb-crisp	0.0
peach-cobbler	0.0
cranberry-sauce	0.25
cherry-cobbler	0.0
apple-crumble	0.0
chocolate-croissants	0.0
french-toast	0.75
chocolate-babka	0.0
cinnamon-babka	0.0
blueberry-crumble	0.0
spam-musubi	0.75
taco-salad	1.0
chiles-rellenos	1.0
almond-croissants	0.25
cranberry-relish	0.75
ma-la-beef	0.75
chocolate-cake	0.0
spinach-quiche	1.0
mushroom-quiche	0.25
quiche-lorraine	0.75
croissant-aux-amandes	0.25
danishes	0.0
spinach-and-feta-quiche	0.25
cold-sesame-noodles	0.75
soba-noodle-salad-with-peanut-dressing	0.25
dan-dan-noodles	0.25
vanilla-souffle	0.0
bacon-wrapped-dates	1.0
cherry-pie	0.0
berry-crisp	0.0
bacon-and-egg-breakfast-sandwich	1.0
bacon-wrapped-shrimp-skewers	0.5
bacon-wrapped-chicken	0.75
bacon-wrapped-asparagus	0.25
bacon-mac-and-cheese	1.0
chicken-alfredo-lasagna	0.25
classic-beef-lasagna	0.25
vegetarian-mushroom-lasagna	0.25
spinach-and-ricotta-lasagna	0.75
