recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.0
ma-la-chicken	7.192588778272628	0.75
quesadillas	7.2216710123771	1.0
ramen	7.198996263665061	0.25
spamburger	6.985707155092578	1.0
bacon-fried-rice	6.959695906869501	0.5
pain-au-chocolat	6.9556833162342215	0.75
nacho-fries	6.945587415349108	1.0
chocolate-babka	6.957558215243408	0.0
asparagus-burger	6.692743245659315	0.25
cranberry-sauce	6.663334386096746	0.25
bacon-wrapped-chicken	6.449371875030113	0.75
mushroom-quiche	6.375414512766412	0.25
guacamole	6.310028303027704	0.25
cold-noodles-with-tomatoes	6.2712993323961586	0.5
strawberry-rhubarb-crisp	6.237126481790334	0.0
taco-salad	6.211753938903883	1.0
tamales	6.197736325084526	0.5
bacon-wrapped-asparagus	6.195041984959003	0.25
dan-dan-noodles	6.177287449304168	0.25
apple-pie	6.022815960090924	0.0
brioche-bread	5.978494765263076	0.25
chicken-nuggets	5.911143555108471	0.25
asparagus-quiche	5.910346565429225	1.0
tacos	5.9197739991785605	1.0
fajitas	5.821725089330048	0.25
bacon-mac-and-cheese	5.825126844030929	1.0
nacho-salad	5.701336672512596	1.0
breakfast-burritos	5.631861058701227	1.0
spam-musubi	5.602098953788667	0.75
croissants	5.591928983389781	0.75
souffle	5.58551797595301	1.0
apple-crisp	5.533398492652322	0.0
bacon-wrapped-shrimp-skewers	5.495574863131443	0.5
croissant-aux-amandes	5.496920856409404	0.25
nachos	5.463838218548771	1.0
spinach-quiche	5.352084131710561	1.0
sujebi	5.323599829848732	0.25
quiche-lorraine	5.283034936994237	0.75
chocolate-peanut-butter-cake	5.200717462104254	0.0
nacho-dip	5.092693762723725	1.0
spinach-and-ricotta-lasagna	5.033286235591182	0.75
soba-noodle-salad-with-peanut-dressing	5.027703515626067	0.25
enchiladas	4.994035606322764	0.25
vanilla-souffle	4.922442488919698	0.0
bacon-and-egg-breakfast-sandwich	4.913088209803828	1.0
bacon-egg-muffins	4.902927515343914	0.25
cranberry-apple-crisp	4.8647402284935115	0.0
danishes	4.803322741927858	0.0
chiles-rellenos	4.777894092589645	1.0
ma-la-beef	4.753986101008362	0.75
pickled-green-beans	4.7056271344866705	0.25
bacon-wrapped-dates	4.692249791679826	1.0
cherry-pie	4.668114207191202	0.0
falafel	4.635527429139198	0.75
bolognese-sauce	4.586344399164409	0.5
loaded-nachos	4.569183146979028	0.75
cold-sesame-noodles	4.572898670212168	0.75
chicken-fingers	4.561092566600808	0.25
bacon-wrapped-scallops	4.549378093476896	0.75
spinach-and-feta-quiche	4.525320326975667	0.25
brownies	4.531593046763762	0.0
tempura-udon	4.496142776286362	0.25
chicken-alfredo-lasagna	4.475821408036586	0.25
burritos	4.46446406854378	0.5
maple-bacon-pancakes	4.417661578856631	0.75
pico-de-gallo	4.418936660433478	0.25
fried-oysters	4.366731261195107	0.75
lasagna	4.334919659381046	1.0
cold-soba-noodles-with-tomato-and-cucumber	4.316936880334639	0.5
almond-croissants	4.304053556065506	0.25
cranberry-relish	4.290494665393727	0.75
peanut-butter-cupcakes	4.267021792500799	0.0
peach-crisp	4.192801637728436	0.0
udon	4.143832433716096	0.75
maple-bacon-donuts	4.144212225234758	0.0
nacho-casserole	4.077720386448544	0.25
brioche-bread-with-chocolate	4.0715033511058145	0.0
pickled-asparagus	4.007220684325052	0.5
pasta-primavera	3.9898961405378066	0.25
french-toast	3.885016721238879	0.75
classic-beef-lasagna	3.8815065663687895	0.25
peach-cobbler	3.7938301956490745	0.0
almond-chip-cookies	3.7710914636362514	0.0
berry-crisp	3.5127657497460336	0.0
bacon-chocolate-chip-cookies	3.4965343809202243	0.0
bacon-souffle	3.4308992504606888	1.0
chocolate-croissants	3.2598383733312173	0.0
vegetarian-mushroom-lasagna	3.253853291982593	0.25
blueberry-crumble	3.2471846713939034	0.0
chocolate-cake	3.15374364885196	0.0
spinach-and-ricotta-stuffed-shells	3.018603724135033	0.25
peanut-butter-brownies	2.974084730198659	0.0
cherry-cobbler	2.926143796582865	0.0
spamburger	2.8763634482689255	1.0
cinnamon-babka	2.875372934118465	0.0
nacho-fries	2.8523846133469175	1.0
quesadillas	2.834391423176074	1.0
tacos	2.829698031205455	1.0
taco-salad	2.815153292348537	1.0
